iter	Passed	Remaining
1395	22309	1662
1396	22325	1646
1397	22341	1630
1398	22356	1614
1399	22372	1598
1400	22388	1582
1401	22413	1566
1402	22429	1550
1403	22446	1534
1404	22462	1518
1405	22481	1502
1406	22497	1487
1407	22514	1471
1408	22530	1455
1409	22546	1439
1410	22562	1423
1411	22581	1407
1412	22598	1391
1413	22616	1375
1414	22632	1359
1415	22647	1343
1416	22663	1327
1417	22678	1311
1418	22695	1295
1419	22711	1279
1420	22727	1263
1421	22743	1247
1422	22759	1231
1423	22775	1215
1424	22790	1199
1425	22806	1183
1426	22823	1167
1427	22839	1151
1428	22855	1135
1429	22871	1119
1430	22888	1103
1431	22904	1087
1432	22919	1071
1433	22935	1055
1434	22950	1039
1435	22966	1023
1436	22983	1007
1437	22999	991
1438	23014	975
1439	23030	959
1440	23046	943
1441	23061	927
1442	23077	911
1443	23092	895
1444	23108	879
1445	23124	863
1446	23140	847
1447	23156	831
1448	23172	815
1449	23188	799
1450	23204	783
1451	23221	767
1452	23236	751
1453	23252	735
1454	23268	719
1455	23283	703
1456	23299	687
1457	23314	671
1458	23329	655
1459	23345	639
1460	23362	623
1461	23378	607
1462	23394	591
1463	23409	575
1464	23424	559
1465	23440	543
1466	23455	527
1467	23473	511
1468	23492	495
1469	23508	479
